[2026/02/16  3:40:02.39] Starting... 
[INFO] Waiting for server... (36/60
[INFO] Waiting for server... (35/60
[OK] Node.js found 
[OK] Changed to C:\Users\user\dev\study-visualizer\scripts\.. 
[INFO] Starting dev server... 
▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:4000
- Network:       http://172.19.80.1:4000
- Environments: .env.local

✓ Starting...
✓ Ready in 1063ms
 GET / 200 in 71ms (compile: 22ms, render: 50ms)
 GET / 200 in 40ms (compile: 3ms, render: 38ms)
 GET / 200 in 49ms (compile: 3ms, render: 46ms)
 GET / 200 in 72ms (compile: 3ms, render: 69ms)
 GET / 200 in 60ms (compile: 20ms, render: 40ms)
 GET / 200 in 36ms (compile: 2ms, render: 34ms)
 GET / 200 in 72ms (compile: 6ms, render: 66ms)
 GET / 200 in 74ms (compile: 19ms, render: 55ms)
 GET / 200 in 40ms (compile: 7ms, render: 33ms)
 GET / 200 in 98ms (compile: 3ms, render: 95ms)
 GET / 200 in 100ms (compile: 16ms, render: 83ms)
 GET / 200 in 117ms (compile: 58ms, render: 59ms)
 GET / 200 in 45ms (compile: 8ms, render: 37ms)
 GET / 200 in 40ms (compile: 2ms, render: 37ms)
 GET / 200 in 101ms (compile: 5ms, render: 96ms)
 GET / 200 in 103ms (compile: 18ms, render: 85ms)
 GET / 200 in 105ms (compile: 31ms, render: 74ms)
 GET / 200 in 144ms (compile: 4ms, render: 140ms)
 GET / 200 in 147ms (compile: 20ms, render: 127ms)
 GET / 200 in 94ms (compile: 6ms, render: 88ms)
 GET / 200 in 97ms (compile: 19ms, render: 78ms)
 GET / 200 in 69ms (compile: 3ms, render: 66ms)
 GET / 200 in 105ms (compile: 33ms, render: 71ms)
 GET / 200 in 75ms (compile: 6ms, render: 69ms)
 GET / 200 in 78ms (compile: 20ms, render: 58ms)
 GET / 200 in 42ms (compile: 3ms, render: 39ms)
 GET / 200 in 108ms (compile: 6ms, render: 102ms)
 GET / 200 in 111ms (compile: 20ms, render: 92ms)
 GET / 200 in 114ms (compile: 34ms, render: 80ms)
 GET / 200 in 42ms (compile: 3ms, render: 40ms)
 GET / 200 in 38ms (compile: 3ms, render: 35ms)
 GET / 200 in 74ms (compile: 6ms, render: 69ms)
 GET / 200 in 78ms (compile: 19ms, render: 59ms)
 GET / 200 in 43ms (compile: 3ms, render: 40ms)
 GET / 200 in 85ms (compile: 7ms, render: 79ms)
 GET / 200 in 88ms (compile: 21ms, render: 67ms)
 GET / 200 in 52ms (compile: 17ms, render: 35ms)
 GET / 200 in 63ms (compile: 3ms, render: 61ms)
 GET / 200 in 78ms (compile: 3ms, render: 76ms)
 GET / 200 in 97ms (compile: 36ms, render: 61ms)
 GET / 200 in 44ms (compile: 6ms, render: 38ms)
 GET / 200 in 44ms (compile: 3ms, render: 42ms)
 GET / 200 in 93ms (compile: 3ms, render: 90ms)
 GET / 200 in 95ms (compile: 17ms, render: 78ms)
 GET / 200 in 98ms (compile: 58ms, render: 40ms)
 GET / 200 in 71ms (compile: 3ms, render: 68ms)
 GET / 200 in 88ms (compile: 31ms, render: 57ms)
 GET / 200 in 74ms (compile: 7ms, render: 67ms)
 GET / 200 in 73ms (compile: 33ms, render: 40ms)
 GET / 200 in 71ms (compile: 3ms, render: 68ms)
 GET / 200 in 75ms (compile: 32ms, render: 43ms)
 GET / 200 in 80ms (compile: 6ms, render: 74ms)
 GET / 200 in 48ms (compile: 4ms, render: 43ms)
 GET / 200 in 38ms (compile: 3ms, render: 35ms)
 GET / 200 in 74ms (compile: 5ms, render: 69ms)
 GET / 200 in 76ms (compile: 19ms, render: 57ms)
 GET / 200 in 39ms (compile: 7ms, render: 32ms)
 GET / 200 in 42ms (compile: 4ms, render: 39ms)
 GET / 200 in 66ms (compile: 3ms, render: 63ms)
 GET / 200 in 93ms (compile: 31ms, render: 61ms)
 GET / 200 in 58ms (compile: 8ms, render: 49ms)
 GET / 200 in 36ms (compile: 3ms, render: 33ms)
 GET / 200 in 87ms (compile: 5ms, render: 82ms)
 GET / 200 in 89ms (compile: 19ms, render: 70ms)
 GET / 200 in 43ms (compile: 4ms, render: 38ms)
 GET / 200 in 41ms (compile: 3ms, render: 39ms)
 GET / 200 in 88ms (compile: 3ms, render: 86ms)
 GET / 200 in 90ms (compile: 18ms, render: 73ms)
 GET / 200 in 41ms (compile: 5ms, render: 37ms)
 GET / 200 in 41ms (compile: 3ms, render: 38ms)
 GET / 200 in 36ms (compile: 2ms, render: 33ms)
 GET / 200 in 69ms (compile: 5ms, render: 64ms)
 GET / 200 in 44ms (compile: 3ms, render: 40ms)
 GET / 200 in 34ms (compile: 2ms, render: 31ms)
 GET / 200 in 70ms (compile: 3ms, render: 67ms)
 GET / 200 in 87ms (compile: 30ms, render: 57ms)
 GET / 200 in 42ms (compile: 8ms, render: 34ms)
 GET / 200 in 37ms (compile: 3ms, render: 34ms)
